itemcode,etfTabCode,itemname,nowVal,risefall,changeVal,changeRate,nav,threeMonthEarnRate,quant,amonut,marketSum
459580,6,KODEX CD금리액티브(합성),1070585,2,80,0.01,1070658.0,0.6832,180664,193415,83410
360750,4,TIGER 미국S&P500,19920,5,-135,-0.67,19928.0,-7.6955,2817258,56286,79780
488770,7,KODEX 머니마켓액티브,102885,2,30,0.03,102885.0,0.7542,525620,54076,69362
069500,1,KODEX 200,34640,2,30,0.09,34697.0,-0.7485,2115343,73410,61140
133690,4,TIGER 미국나스닥100,128525,5,-860,-0.66,128715.0,-7.812,171992,22191,48351
357870,6,TIGER CD금리투자KIS(합성),56100,2,10,0.02,56097.0,0.664,116714,6547,47756
379800,4,KODEX 미국S&P500,18335,5,-130,-0.7,18341.0,-7.6473,2828906,51998,42592
423160,6,KODEX KOFR금리액티브(합성),110350,2,25,0.02,110340.0,0.6752,330128,36429,38770
273130,6,KODEX 종합채권(AA-이상)액티브,118815,5,-35,-0.03,118838.0,1.2178,48387,5748,32884
381170,4,TIGER 미국테크TOP10 INDXX,22425,5,-65,-0.29,22476.0,-9.4788,862311,19423,30935
449170,6,TIGER KOFR금리액티브(합성),108850,2,15,0.01,108855.0,0.6799,73367,7986,28758
455890,6,RISE 머니마켓액티브,54205,2,5,0.01,54205.0,0.809,405235,21965,28625
379810,4,KODEX 미국나스닥100,19315,5,-130,-0.67,19354.0,-7.8917,781490,15156,25100
102110,1,TIGER 200,34615,2,65,0.19,34658.0,-0.8523,571390,19804,23884
381180,4,TIGER 미국필라델피아반도체나스닥,17205,5,-230,-1.32,17221.0,-12.7596,846965,14611,23459
278530,1,KODEX 200TR,12345,2,10,0.08,12363.0,-0.7643,112958,1396,23073
481050,6,KODEX CD1년금리플러스액티브(합성),1023460,2,50,0.0,1023436.0,0.6735,6953,7116,22062
122630,3,KODEX 레버리지,16100,2,20,0.12,16226.0,-4.0573,11025026,178342,21824
453850,6,ACE 미국30년국채액티브(H),7490,2,40,0.54,7488.0,-4.8653,5342781,40033,20905
360200,4,ACE 미국S&P500,20140,5,-140,-0.69,20144.0,-7.7092,337191,6809,20261
458730,4,TIGER 미국배당다우존스,11380,5,-75,-0.65,11343.0,-10.5358,1169698,13333,19722
310970,1,TIGER MSCI Korea TR,14395,2,5,0.03,14366.0,-3.0651,2023,29,19045
233740,3,KODEX 코스닥150레버리지,6665,5,-35,-0.52,6705.0,-24.8458,21577974,143684,18382
371460,4,TIGER 차이나전기차SOLACTIVE,9960,5,-40,-0.4,9971.0,-7.1495,1464925,14778,17494
453540,6,TIGER 25-10 회사채(A+이상)액티브,54950,2,5,0.01,54948.0,0.8812,86201,4736,17214
214980,6,KODEX 단기채권PLUS,114580,2,15,0.01,114584.0,0.8095,21656,2481,15579
367380,4,ACE 미국나스닥100,22100,5,-150,-0.67,22129.0,-7.7912,236937,5255,14895
385540,6,RISE 종합채권(A-이상)액티브,110395,2,15,0.01,110372.0,1.3218,2017,222,14713
252670,3,KODEX 200선물인버스2X,2080,5,-10,-0.48,2082.0,-1.4151,88104424,182744,13447
411060,5,ACE KRX금현물,20790,5,-95,-0.45,20728.0,0.4811,805327,16635,12827
476550,6,TIGER 미국30년국채커버드콜액티브(H),7890,2,45,0.57,7880.0,-4.7591,1284584,10139,12375
494900,6,TIGER 25-12 금융채(AA-이상),51180,2,5,0.01,51179.0,0.9169,923,47,12354
