user_id,age,gender,income,assets,risk_tolerance,saving_goal,financial_knowledge,investment_experience,user_type,preferred_term,deposit,saving,stock,etf,goods
1,25,F,3877,5905,high,단기 여행,보통,없음,주부,단기,0,0,1,0,0
2,34,F,5364,37351,low,내 집 마련,보통,3년 이상,사회초년생,단기,1,1,1,0,1
3,42,F,6339,40534,medium,목돈 마련,낮음,없음,직장인,단기,0,0,0,0,0
4,49,M,3247,30934,high,은퇴 준비,보통,없음,은퇴자,장기,1,0,1,0,1
5,44,F,4696,25198,medium,목돈 마련,보통,없음,주부,단기,0,1,0,0,1
6,50,M,2396,35334,medium,은퇴 준비,높음,3년 이상,주부,중기,1,1,1,1,1
7,21,M,8852,8784,medium,내 집 마련,보통,1~3년,직장인,중기,1,0,0,0,0
8,45,F,5918,31909,low,단기 여행,낮음,1~3년,은퇴자,중기,1,1,0,0,0
9,41,M,9480,26554,low,단기 여행,낮음,3년 이상,주부,단기,1,0,1,0,0
10,51,F,4068,36450,low,은퇴 준비,높음,1~3년,은퇴자,중기,1,1,0,0,1
11,24,F,9772,35876,low,내 집 마련,낮음,없음,사회초년생,장기,1,0,0,0,0
12,42,M,2393,19222,high,단기 여행,보통,1~3년,은퇴자,중기,0,0,1,0,1
13,52,F,4019,47691,high,단기 여행,보통,3년 이상,사회초년생,단기,0,0,1,0,1
14,20,M,6798,22626,medium,단기 여행,높음,3년 이상,사회초년생,장기,0,0,1,1,1
15,43,F,6042,13312,low,결혼 준비,낮음,3년 이상,은퇴자,장기,1,0,1,0,0
16,45,F,3212,43977,medium,단기 여행,높음,1~3년,사회초년생,장기,0,1,0,1,1
17,42,F,3676,1067,medium,결혼 준비,보통,3년 이상,은퇴자,중기,0,1,1,0,0
18,24,M,5107,47771,low,목돈 마련,보통,없음,사회초년생,장기,1,1,0,0,1
19,51,F,8535,9761,medium,은퇴 준비,낮음,없음,직장인,단기,1,0,0,0,0
20,38,F,7495,18262,high,목돈 마련,낮음,3년 이상,주부,장기,0,0,1,0,0
21,36,F,5082,10264,high,단기 여행,낮음,1~3년,은퇴자,장기,0,0,1,0,0
22,52,M,5110,28525,low,단기 여행,낮음,없음,사회초년생,단기,1,1,0,0,0
23,58,F,5032,12180,medium,은퇴 준비,보통,없음,은퇴자,중기,1,1,0,0,1
24,55,M,4456,36319,medium,목돈 마련,높음,3년 이상,사회초년생,중기,0,1,1,1,1
25,46,F,7900,21636,low,내 집 마련,보통,3년 이상,주부,장기,1,0,1,0,1
26,37,M,4943,14767,low,단기 여행,보통,1~3년,직장인,장기,1,1,0,0,1
27,31,F,9313,4496,high,내 집 마련,높음,3년 이상,사회초년생,장기,1,0,1,1,0
28,29,F,7214,38647,low,목돈 마련,보통,3년 이상,주부,중기,1,0,1,0,1
29,28,F,6594,18622,high,단기 여행,낮음,3년 이상,주부,중기,0,0,1,0,0
30,34,F,7017,44853,medium,결혼 준비,낮음,없음,은퇴자,단기,0,0,0,0,0
31,29,F,6549,26748,medium,결혼 준비,보통,없음,은퇴자,장기,0,0,0,0,1
32,39,F,2092,22378,low,결혼 준비,낮음,3년 이상,주부,장기,1,1,1,0,0
33,50,M,6177,27734,medium,결혼 준비,보통,1~3년,주부,장기,0,0,0,0,1
34,32,M,2985,40375,low,결혼 준비,낮음,3년 이상,직장인,단기,1,1,1,0,0
35,48,M,4063,31281,medium,단기 여행,보통,없음,주부,단기,0,1,0,0,1
36,55,M,8724,13020,high,은퇴 준비,높음,1~3년,사회초년생,단기,1,0,1,1,1
37,44,F,6485,24675,low,목돈 마련,낮음,1~3년,은퇴자,단기,1,0,0,0,0
38,43,M,4941,3024,high,목돈 마련,보통,3년 이상,은퇴자,장기,0,0,1,0,0
39,54,F,2876,34027,high,결혼 준비,보통,3년 이상,은퇴자,장기,0,0,1,0,1
40,29,F,8728,29863,medium,결혼 준비,높음,3년 이상,직장인,단기,0,0,1,1,1
41,41,M,7981,20028,medium,은퇴 준비,높음,3년 이상,은퇴자,중기,1,0,1,1,1
42,53,M,8366,36785,low,내 집 마련,높음,3년 이상,주부,단기,1,0,1,0,1
43,30,M,9762,25284,low,목돈 마련,높음,1~3년,직장인,단기,1,0,0,0,1
44,47,M,9908,33589,low,목돈 마련,보통,3년 이상,사회초년생,중기,1,0,1,0,1
45,34,F,5257,33880,high,은퇴 준비,보통,3년 이상,사회초년생,단기,1,0,1,0,1
46,33,F,8849,35815,medium,내 집 마련,보통,없음,사회초년생,장기,1,0,0,0,1
47,34,M,8297,15455,medium,내 집 마련,높음,3년 이상,사회초년생,중기,1,0,1,1,1
48,43,F,9465,34615,medium,내 집 마련,보통,없음,은퇴자,중기,1,0,0,0,1
49,20,F,7225,26167,high,결혼 준비,높음,3년 이상,주부,장기,0,0,1,1,1
50,42,F,8917,38221,medium,내 집 마련,보통,3년 이상,주부,중기,1,0,1,0,1
51,49,M,5149,20064,high,내 집 마련,높음,3년 이상,은퇴자,단기,1,0,1,1,1
52,56,M,8185,2725,medium,내 집 마련,높음,1~3년,은퇴자,중기,1,0,0,1,0
53,38,M,7811,5847,low,은퇴 준비,보통,3년 이상,사회초년생,장기,1,0,1,0,0
54,50,F,4822,16102,medium,단기 여행,보통,1~3년,사회초년생,중기,0,1,0,0,1
55,60,M,4512,14856,high,결혼 준비,높음,없음,주부,장기,0,0,1,1,1
56,53,F,2591,48315,high,결혼 준비,높음,3년 이상,은퇴자,중기,0,0,1,1,1
57,30,F,6120,35995,high,내 집 마련,낮음,없음,주부,단기,1,0,1,0,0
58,32,F,8696,48436,low,단기 여행,높음,1~3년,은퇴자,단기,1,0,0,0,1
59,30,M,6988,32566,medium,결혼 준비,높음,3년 이상,직장인,장기,0,0,1,1,1
60,55,F,2460,40025,high,단기 여행,보통,3년 이상,주부,장기,0,0,1,0,1
61,52,F,5372,12293,medium,단기 여행,낮음,3년 이상,사회초년생,중기,0,1,1,0,0
62,43,F,5008,28369,low,은퇴 준비,보통,없음,사회초년생,중기,1,1,0,0,1
63,29,M,9834,35694,medium,결혼 준비,보통,3년 이상,직장인,장기,0,0,1,0,1
64,26,F,4574,20312,medium,단기 여행,낮음,3년 이상,주부,단기,0,1,1,0,0
65,31,M,5262,5910,medium,단기 여행,높음,1~3년,주부,장기,0,1,0,1,0
66,33,M,3430,10028,low,단기 여행,높음,없음,은퇴자,중기,1,1,0,0,1
67,20,M,4987,49434,medium,단기 여행,높음,3년 이상,주부,단기,0,1,1,1,1
68,36,M,5577,19656,low,내 집 마련,높음,3년 이상,사회초년생,단기,1,1,1,0,1
69,52,M,4799,31029,low,단기 여행,보통,없음,직장인,단기,1,1,0,0,1
70,37,M,2025,36981,high,결혼 준비,보통,1~3년,은퇴자,단기,0,0,1,0,1
71,33,M,2161,32032,high,내 집 마련,보통,3년 이상,은퇴자,장기,1,0,1,0,1
72,50,F,3588,24122,low,은퇴 준비,보통,없음,주부,중기,1,1,0,0,1
73,58,F,2377,21553,high,내 집 마련,보통,없음,은퇴자,단기,1,0,1,0,1
74,55,M,8723,19368,medium,결혼 준비,낮음,1~3년,은퇴자,단기,0,0,0,0,0
75,36,F,2534,40238,low,단기 여행,높음,3년 이상,주부,중기,1,1,1,0,1
76,36,F,4904,33389,low,내 집 마련,낮음,없음,직장인,중기,1,1,0,0,0
77,50,F,7603,33788,low,목돈 마련,낮음,3년 이상,은퇴자,장기,1,0,1,0,0
78,20,F,3863,34803,low,결혼 준비,높음,없음,직장인,단기,1,1,0,0,1
79,55,F,4689,41917,medium,목돈 마련,높음,없음,직장인,단기,0,1,0,1,1
80,44,M,9505,48822,medium,내 집 마련,보통,없음,은퇴자,장기,1,0,0,0,1
81,42,F,7801,31644,low,은퇴 준비,보통,1~3년,은퇴자,중기,1,0,0,0,1
82,51,F,6252,33082,high,내 집 마련,높음,3년 이상,주부,중기,1,0,1,1,1
83,45,M,5738,34396,high,내 집 마련,높음,1~3년,주부,중기,1,0,1,1,1
84,32,M,4240,27617,low,은퇴 준비,높음,1~3년,직장인,중기,1,1,0,0,1
85,59,F,8874,18142,medium,결혼 준비,높음,3년 이상,사회초년생,단기,0,0,1,1,1
86,60,F,8687,44342,low,목돈 마련,낮음,3년 이상,은퇴자,중기,1,0,1,0,0
87,26,F,8424,1376,low,결혼 준비,낮음,3년 이상,사회초년생,단기,1,0,1,0,0
88,39,M,4503,25781,low,결혼 준비,보통,없음,은퇴자,장기,1,1,0,0,1
89,51,F,8030,31777,low,목돈 마련,높음,3년 이상,사회초년생,단기,1,0,1,0,1
90,42,M,2544,47324,medium,은퇴 준비,높음,없음,사회초년생,단기,1,1,0,1,1
91,46,F,8907,23516,high,결혼 준비,낮음,3년 이상,주부,단기,0,0,1,0,0
92,60,M,6673,13452,low,결혼 준비,낮음,1~3년,사회초년생,단기,1,0,0,0,0
93,25,M,8995,30545,low,목돈 마련,높음,없음,직장인,단기,1,0,0,0,1
94,30,M,8855,47892,medium,내 집 마련,낮음,3년 이상,직장인,장기,1,0,1,0,0
95,41,M,4121,5830,medium,목돈 마련,높음,없음,주부,중기,0,1,0,1,0
96,25,M,2236,2340,high,목돈 마련,보통,1~3년,직장인,중기,0,0,1,0,0
97,33,F,4940,13782,low,은퇴 준비,높음,3년 이상,직장인,중기,1,1,1,0,1
98,44,F,4508,30813,high,단기 여행,보통,3년 이상,주부,단기,0,0,1,0,1
99,32,M,6949,4782,low,단기 여행,높음,3년 이상,사회초년생,중기,1,0,1,0,0
100,47,F,6183,27690,medium,은퇴 준비,낮음,없음,주부,장기,1,0,0,0,0
